transliteration,translation,source
a-na-kam 15 ma-na URUDU ma-sí-am ša URUDU i-šu ù 1 GÍN KÙ.BABBAR ša pì-ri-kà-ni-šu a-šùr-big_gap i-dí-ni-a-tí a-ma-kam šu-ma DIRI mì-ma uš-té-ba-al ša-dí-a-šu-ma ku-un-kà-ma šé-bi4-lá-nim,"Here, Aššur- big_gap gave us 15 minas washed copper of its copper and 1 shekel silver for/per pirikannu.",sentence_word_index
DUMU i-ku-nim ṣí-ib-tám ki-ma a-wa-at kà-ri-im kà-né-eš ú-ṣa-áb,He will add interest according to the regulation of of the Kanesh colony.,train_split
i-na na-áš-pè-er-tí-a ku-lu-ma-a ù i-dí-sú-en6 i-ra-de8-ú-ni-ku-nu-tí,Kulumaya and Idī-Suen brought it to you pl. in my missive.,sentence_word_index
2 GÍN AN.NA kà-šu-um 1 ma-na URUDU a-na ša tí-tù-ri-im 1 ma-na URUDU a-na É,"When they built a house in front of the grave where our father is buried, my expense was 2 talents of copper, and 15 minas of copper was the wages of the builder.",train_split
id-a-ma i-na hu-bu-li-kà li-iṣ-hi-ir ù URUDU na-am-a-dam ša ṭup-pì-kà,Then we have settled the majority of the copper from your tablet until my return.,train_split
a-na ku-a-tí a-dí-na-kum,I gave to you 1 kutānum-textiles belonging to Šāt-Aššur for your disposal.,sentence_word_index
ú-ṣú-bu ta-ah-sí-is-tum a-ni-tum me-eh-ra-at ṭup-pì-im ha-ar-mì-im ša hu-bu-ul a-lá-hi-im ú šu-a-šur,"If they do not pay on time, they will add 1 1/2 shekels per mina per month as interest.",sentence_word_index
ša-tim i-ša-qú-lu 5 na-ru-uq,Seize them and make them pay the silver and its interest.,train_split
KIŠIB ni-mar-IŠTAR DUMU PUZUR4-a-šùr KIŠIB en-nam-a-šùr DUMU kà-ri-a a-šùr-na-da DUMU šu-dEN.LÍL tap-pá-i-ni a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-iš i-dí-ni-a-tí-ma IGI GÍR ša a-šùr ší-bu-tí-ni ni-dí-in,"Sealed by Nimar-Ištar son of Puzur-Aššur, by Ennam-Aššur son of Karriya; Aššur-nādā son of Šu-Illil is our absent partner. The Kanesh colony gave us for these proceedings and we gave our testimony before Aššur's dagger.",original_document
um-ma en-um-a-šùr-ma a-na lá-qé-ep ù a-na-na qí-bi-ma mì-šu ša ṣú-ha-ru-a a-dí u4-mì-im a-nim a-ma-kam wa-áš-bu-ni ù a-na-ku a šu-mì-šu-nu a-na-kam sà-ah-ra-ku-ni a-pu-tum ih-da-ma ṣú-ha-ri-a ṭù-ur-da-nim a-na lá-qé-ep qí-bi-ma a-hi a-ta i-na a-lá-ki-a li-bi lá i-ma-ra-ṣa-kum a ma-lá té-er-tí-a ša iš-tí ṣú-ha-ri-a i-lá-kà-ni gap gap KÙ.BABBAR gap gap gap gap gap ku ù a-dí a-lá-kà-ni ku-nu-ku-kà-ma iš-tí-ša li-ib-ší-ú ù a-na KÙ.BABBAR ša ba-ba-tí-a ih-da-ma ba-ba-tí-a za-ki-a-ma KÙ.BABBAR lu ša-li-iṭ-ma iš-tí-ša-ma li-bi-ší a-dí a-lá-ki-a lu ú-ṭá-tám lu e-ṣí ša nu-a-e pá-hi-ra ší-lá-tum lá i-ba-ší a-ša-me-ma en-na-sú-in iš-tù a-limki e-li-am šu-ma ke-na-ma e-li-am za-ku-sà a-na mì-ma tí-ir-tí-a iš-tí ba-tí-qí-im šu-up-ra-nim-ma úz-ni pè-té-a ù šu-ma i-tur4-DINGIR e-ki-ip-ma ha-ra-šu a-na a-limki i-ta-lá-ak i-na gap gap -ri a-limki šu-up-ra-nim-ma lá-tal-kam,"From Ennam-Aššur to Lā-qēp and Anna-anna: Why have my servants stayed there until this day, so that I am delayed here because of them? Urgent, take care to send me my servants. To Lā-qēp: My dear brother, so that I do not get angry at you when I arrive, big_gap in accordance with my message that arrives with my servants big_gap let them remain with her under your seal until I arrive; also, take care with the silver from my outstanding claims and clear my claims so that the silver is at hand and let it be with her. Collect both grain and firewood from the Anatolians before I come. There must be no misconduct. I hear that Enna-Suen has come up from the City. If he has really come up, send me a report concerning all my merchandise ordered with an express caravan to inform me. Also, if Itūr-ilī is about to go or has already gone to the City, then write me big_gap of the City so I can come.",original_document
ku-lu-ni nu-ta-ni-ih-ma šál-ma-ni ú-ru-za-na-tim me-ra-lì,"The .'s of Merali, which he brought, he refused to give us.",train_split
big_gap šu-ma en-na-num a-šùr-iš-tí-kál ù ha-na-a AN.NA ù TÚG.HI-tí-a a ma-lá tí-ir-tí-a il5-qé-ú KÙ.BABBAR me-eh-ra-tim lu-šé-bi4-lu-nim li-il5-qé me lu ni a-na en-na-nim qí-bi-ma lu 40 ma-na AN.NA ù ku-ta-ni SIG5 gap gap gap iš-tí,"To Ennānum: Either 40 minas of tin or fine big_gap with the palace big_gap to hattum big_gap in 2 or 3 months I shall deposit in your name, so make at least 10 minas of silver, and give a caravan transaction to my servant, and let at least 10 minas of silver reach me here; give also me a caravan, then I in turn will give you a caravan when I come up.",train_split
zu-ba ù dIM-ba-ni mu-pá-zi-ru-ú na-áš-ú-ni-ku-nu-tí 10 GÍN KÙ.BABBAR ig-ri-šu-nu dí-na-šu-nu-tí ú 10 GÍN KÙ.BABBAR xx,"Give them their wages, 10 shekels of silver; also, send 10 shekels of silver big_gap and the servant must not be delayed - send him.",train_split
ki-ma ša a-ha-am i-na kà-ri-im lá i-šu,There is not anyone like Aḫum? in the colony.,sentence_word_index
20 ma-na URUDU ma-sí-am i-ṣé-er i-dí-a-bi-im ma-ma-hi-ir i-šu ITU.KAM li-mu-um bu-zu-ta-a a-na ša-na-at i-ša-qal šu-ma lá iš-qúl 1 ma-na.TA i-na ITU.KAM ṣí-ib-tám a-na 10 ma-na-e ú-ṣa-áb IGI ṣí-lu-uš-da-gan IGI a-šùr-ba-ni,"Iddin-abum owes 20 minas of washed copper to Man-mahir. Month Kuzallu, eponym of Buzutaya. He must pay in one year. If he has not paid in time, he must pay interest at the rate 1 mina per ten minas per month. Witnessed by Ṣilluš-Dagān, by Aššur-bāni.",original_document
ta-ah-sí-is-tum a-ni-tum me-eh-ra-at ṭup-pì-im ha-ar-mì-im ša hu-bu-ul a-šur-SIPA DUMU a-ku-tí-a,This memorandum is a copy of the sealed tablet of Aššur-rēʾī s. Akutiya.,sentence_word_index
a-na a-bi-a ha-bu-lá-tí KÙ.BABBAR ù ṣí-ba-sú im-tí-da-kum 1 ma-na-um 0.33333 ma-na i ša-tim tù-ṣa-áb um-ma PUZUR4.IŠTAR-ma a-bu-kà maš-ke-e il5-ta-qé-ma KÙ.BABBAR ša-bu ki-ma šu-bé-lim nu-ší-ib-ma ni-iš a-limki it-mu-ú-ma a-na 6 ma-na KÙ.BABBAR i-mì-ig-ru IGI ni-mar-IŠTAR IGI,"The silver and the interest on it has become a great sum for you: You pay 0.3333 mina per mina per year as interest."" Puzur-Ištar answered: ""Your father has already received hides so he has been paid the silver."" We sat down to negotiate on behalf of Šu-Bēlum and they swore an oath by the City and agreed on 6 minas of silver.",train_split
É ša IŠTAR-lá-ma-sí ù a-šùr-DU10 a-na 2.5 ma-na KÙ.BABBAR a-na ša-lim-ma i-dí-nu-ma KÙ.BABBAR ší-im É-šu-nu a-šùr-DU10,The house of Ištar-lamassī and Aššur-ṭāb they sold to Šalimma for 2.5 minas of silver and with price for their house Aššur-ṭāb and Ištar-lamassī are satisfied.,train_split
ŠÀ.BA 1.5 ma-na KÙ.BABBAR ni-is-ha-sú DIRI ša-du-a-sú ša-bu ku-nu-ki-a ku-lu-ma-a na-áš-a-ki-im,"Thereof 1 1 /2 minas silver, the excise added and shipping satisfied, Kulumaya brings to you under my seal.",sentence_word_index
big_gap -nu a-bi4-a šu-ma a-hu-a a-tù-nu ih-da,"If you are truly my brothers, take care!",train_split
um-ma i-li-a-ma a-šur-re-ṣí en-nam-a-šur ù da-dí-a a-na e-lá-ma qí-bi4-ma 4.33333 ma-na 2.5 GÍN KÙ.BABBAR dan-a-šur ub-lam 4.33333 GÍN ša-du-a-tám a-na dan-a-šur ni-dí-in 1.3333300000000001 GÍN té-ṣú-be né-pu-ul 11 GÍN a-na ni-is-ha-tim ni-dí-in ší-tí KÙ.BABBAR-pì-kà 4 ma-na 5.83334 GÍN 17 ma-na 4 GÍN KÙ.BABBAR a-ni-nu-um ub-lam ŠÀ.BA 0.66666 ma-na 2.5 GÍN a-na ni-is-ha-tim ni-dí-in ší-tí KÙ.BABBAR-pì-kà 16.33333 ma-na LÁ 0.5 GÍN ŠU.NÍGIN KÙ.BABBAR-pì-kà 20.33333 ma-na 5.5 GÍN 4 GÚ 20 ma-na AN.NA ku-nu-ku 15.33333 GÍN 15 ŠE.TA KÙ.BABBAR-áp-šu 17.83333 ma-na 2 GÍN 20 ma-na AN.NA-ak qá-tim 15 GÍN.TA 1.3333300000000001 ma-na KÙ.BABBAR 10 ku-ta-nu 0.66666 ma-na 6.5 GÍN it-bu-lu 8 šu-ru-tum ša li-wi-tim 0.33333 ma-na 8 GÍN KÙ.BABBAR-šu-nu 2 ANŠE.HI.A ṣa-lá-mu 0.66666 ma-na LÁ 4 GÍN KÙ.BABBAR-šu-nu 0.33333 ma-na 7 GÍN KÙ.BABBAR i ma-sá-im im-ṭí 0.5 ma-na KÙ.BABBAR be-ú-lá-at ma-ṣi-ì-lí 2 GÍN lu-bu-šu 1 GÍN KÙ.BABBAR,"Thus Iliya, Aššur-rēṣī, Ennam-Aššur, and Dadiya, say to Elamma: 4.3333 minas 2.5 shekels of silver Dān-Aššur brought. We gave 4.3333 shekels as transport fee to Dān-Aššur, paid 1.3333 shekel as addition and 11 gave as excise, so that of your silver there remain 4 minas 5.83333? shekels. 17 minas and 4 shekels of silver Anīnum brought here. Thereof we paid 42.5 shekels as excise. There remain of your silver 16 minas 19.5 shekels. The total of your silver amounts to 20 minas 25.3333 shekels. 4 talents 20 minas of tin under seals, at a rate of 15 5 / 12 shekels : 1 the silver for it was 17 minas 52 shekels. 20 minas tin for expenses, at a rate of 15 shekels : 1 makes 1.3333 mina of silver. 10 -textiles cost 46.5 shekels of silver; 8 dark textiles for wrapping, their price in silver 28 shekels; 2 black donkeys cost 40 minus 4? shekels of silver. 27? shekels of silver loss due to washing the silver; 0.5 mina of silver, the working capital of Maṣi-ilī; 2 shekels his clothing allowance; 1 shekel the cost of big_gap ; 10 1 / 8 shekels the export tax. When checking 3 shekels of silver proved to be missing; 3.5 shekels the harness of the donkeys; 1 shekel fodder for the donkeys. To supplement the costs of the donkey-loads we added 58.83333 shekels of silver from that of the barley. All this Dān-Aššur has led to you.""""",original_document
GÍN KÙ.BABBAR i li-bi4 za-ga-al-i IR-dí-šu 0.83334,"1/2 shekel is owed by Zagal'u, his slave.",sentence_word_index
20 ma-na URUDU SIG5 1.5 GÍN 22.5 ŠE KÙ.TA ù 10 GÍN KÙ.BABBAR a-lá-hu-um i-dí,"Ali-ahum deposited 20 minas of good copper, at the rate in silver 1.5 shekel 22.5 grains, plus 10 shekels of silver.",train_split
iš-tù ha-muš-tim ša šu-a-nim ù du-du a-na 30 ha-am-ša-tim i-ša-qú-lu-ú,They will pay thirty weeks from the ḫamuštum of Šū-Anum and Dudu.,sentence_word_index
a ma-lá na-áš-pí-ir-tí-kà a-na 43 ma-na AN.NA ša na-áš-a-ku-ni ú 9 {TÚG}ku-ta-ni ša iš-tù kà-ni-iš tù-šé-ba-lá-ni um-ma a-na-ku-ma a-wi-lu-um iš-tap-ra-am qá-ta-am lá am-ha-aṣ,"According to your message, regarding the 43 minas of tin which are brought to you and the 9 kutānum-textiles which you sent from Kaneš, I said, ""As for me, the man wrote to me. I did not strike? the share.""",sentence_word_index
qí-bi-ma um-ma PÚZUR-a-šùr-ma šu-ma ú-ku DUMU ṣí-lu-lu a-ma-kam wa-ša-áb big_gap ṭur4-da-ni-šu kà-lá ú big_gap KÙ.BABBAR 10 GÍN big_gap lá a-be-el gap big_gap we-da-ku big_gap a da-a-ni big_gap a-na en-na-nim pu-nu-a a da big_gap a-na ṣé-ri-a big_gap ṭur-da-ni-ma KÙ.BABBAR 1 GÍN il5-qé,To big_gap and Al-aḫim from Puzur-Aššur:,sentence_word_index
i ṭù-pì-im il5-pu-tù-šu KÙ.BABBAR,I shall not obstruct the tablet of the City and the attorney of our lord.,train_split
a-na a-la-hi-im qí-bi-ma um-ma a-mur-IŠTAR-ma 9 GÚ 17 ma-na,"To Ali-ahum from Amur-Ištar: Aššuriš-takil recieved 9 talents 17 minas of copper, our father's share, in the office of the colony.",train_split
e-lá-ma ú ga-al-dá-a ni-kà-sí i-sí-ú-ma lu ú-ku-ul-tù-šu lu ga-am-ru-um ša ha-ra-nim mì-ma šu-um-šu ba-tí-iq 1 ma-na KÙ.BABBAR ṣa-ru-pá-am i-ṣé-er ga-al-dá-a e-lá-ma i-šu iš-tù ha-mu-uš-tim ša am-ri-a ù i-ku-nim 1.5 GÍN.TA i-na ITU.KAM-im a-na 1 ma-na-im ú-ṣa-áb ITU.KAM ṣí-ip-im li-mu-um a-bi-a DUMU šu-da-ga-an a-na a-wa-tim a-ni-a-tim ni-iš a-limki it-mu-ma IGI ša-lim-dIŠKUR IGI lá-qé-pí-im IGI a-mur-dUTU IGI e-zé-e ṭup-pu-um ša bé-ú-lá-ti-šu a-ha-ma i-ba-ší,"Elamma and Galdaya settled accounts with the result that after both travel expenses and his food allowance have been deducted, Elamma still has a claim of 1 mina of refined silver on Galdaya, the son of Naku. From the week of Amriya and Ikūnum he will add 1.5 shekel per mina per month. Month VII, year-eponymy of Abiya, son of Šu-Dagan. Separately, there still exists a valid record of his working capital. We made them swear an oath by the City for these words.",original_document
ší-im ṣú-ha-ri-a šé-bi4-lam a-hi a-ta ta-da-gal-ma a-na-kam KÙ.BABBAR 1 GÍN,"My dear brother, you can see that not a single shekel of silver is in my possession here.",train_split
li-bi4 lá i-ma-ra-aṣ a-na ší-ip-kà-at ku-ra 7 GÍN.TA KÙ.BABBAR,Our father paid at 7 shekels of silver on each mina for Kura's investments.,train_split
ší-ti ṣú-ba-tí-kà qá-dì ša kà-ṣa-ri 1 me-at 66 TÚG.HI.A ša šé-ep a-mur-IŠTAR iz-ku-ú-nim-ma i-ba-ší-ú,"They cleared the remainder of your textiles together with those of the transporters, 166 textiles from the transport of Amur-Ištar and they are available.",sentence_word_index
i-na pu-ru-uš-ha-dim URUDU-am i-ša-qú-lu,They must pay the copper in Purušhaddum.,train_split
i-na KÙ.BABBAR-áp šu-sú-en6 3 ma-na KÙ.BABBAR ù ṣí-ba-sú a-na ma-num-ba-lúm-a-šur ni-ìš-qú-ul,We paid 3 minas silver and its interest from the silver of Šū-Suen to Mannum-bālum-Aššūr.,sentence_word_index
iš-ni-ú-ma il5-ba-ni sú-en6-SIPA ù a-šur-ni-šu me-er-ú a-mur-IŠTAR DUMU a-mur-DINGIR e-mu-ru-ma i nu-du-a-tim ta-ah-sí-sà-tim iš-tù ta-ah-sí-sà-tim pá-tí-a-tim ṭup-pè-e ha-ru-mu-tim ša a-bi4-šu iš-ta-kà-šu,"They repeated? and Il-bāni, Suen-rēʾī, and Aššur-nīšu, the sons of Amur-Ištar son of Amur-ilī, saw and placed it among the n. and t. from the open t. and sealed tablets of his father.",sentence_word_index
en-nam-a-šùr a-šùr-na-da DUMU šu-dEN.LÍL tap-pá-i-ni a-na a-wa-tim,"Witnessed by Nimar-Ištar, by Ennam-Aššur; Aššur-nādā son of Šu-Illil is our absent partner.",train_split
a-na ku-li-a qí-bi-ma um-ma a-ba-ba-a-a-ma a-na-kam 1.3333300000000001 ma-na KÙ.BABBAR ša a-na mu-lá-e-i ša É sà-ba-sí-a ni-il5-qé-e-ú be-el qá-ta-tí-a ša iš-tí-a i-zi-zu-i-ni,"Say to Kuliya, thus says Ababaya: Here, as for the 1.3333 mina of silver which we borrowed to suppliment the amount of Sabasiya's house / firm, my guarantors, which assisted me, all five of them, are complaining.",train_split
KIŠIB ku-ku-a-ma KIŠIB šu-IŠTAR a-na en-um-a-šùr,Seal of Kukuwa and seal of Šu-Ištar; to Ennam-Aššur.,original_document
za-ki-a-ma dan-a-šur ṭur4-dam,Clear both the goods from Dān-Aššur's transport and Agua and Kulumaya's transport and dispatch Dān-Aššur here.,sentence_word_index
ù a-šu-mì AN.NA-ki-a ša a-ma-kam DUMU i-ku-pí-a ù il5-ba-ni i-dí-nu-šu-ni a-na a-hi-šu pu-nu-ma um-ma a-ta-ma a-wi-lúm a-wi-il5 gi-mì-lim KÙ.BABBAR 1 ma-na lá tù-šé-qá-ar-šum,"Also, concerning my tin which the son of Ikkupya and Il-bāni gave to him there, turn to his brother and say, ""The man is a man of favors. Do not overvalue every shekel!""",sentence_word_index
ú-kúl-tí-šu-nu a-dí-šu-nu-tí IGI a-hu-qar DUMU zu-ur-zu-ur IGI,"Witnessed by Ahu-waqar son of Zurzur, by Aššur-taklāku son of Qardum-Adad.",train_split
a-na ku-ša-ra a-da-da a-na a-wi-lim ta-mu-im e-tí-tí-iq ma-mì-tám iš-tí a-wi-lim i-lá-qé-ma ú lu-qú-tám ša,He will get an oath from the man and then he will dispatch the goods of Azuzaya's son on the Narrow Track.,train_split
a-na a-lá-hi-im DUMU šál-ma-a-šur KIŠIB MAN-a-šur DUMU a-šur-dan,To Ali-ahum son of Šalim-Aššur; seal of Puzur-Aššur son of Aššur-dan.,original_document
a-na a-wa-tim a-ni-a-tim kà-ru-um kà-ni-ìš ṣa-he-er GAL i-dí-ni-a-tí-ma IGI GÍR ša a-šur ṭup-pá-am ni-dí-in,The plenary assembly of the Kanesh colony gave for these proceedings and we gave the tablet before Aššur's dagger.,train_split
šu-ma lá iš-qúl ki-ma a-wa-at kà-ri-im ṣí-ib-tám ú-ṣa-áb,"If he does not pay on time, he will add interest according to the rate of the colony.",sentence_word_index
šu-ma a-ba-ú-a a-tù-nu a-na ma-lá ṭup-pí-im ša a-lim{ki} É-bé-tám ša kà-ni-iš{ki} tù-ub-ta-am lu a-ma-tim lu ṭup-pé-e lu a-li KÙ.BABBAR 1 GÍN i-ba-ší-ú ih-da-ma ku-un-kà-ma šé-bi-lá-nim,"If you are truly my fathers, to as many tablets of the city, which are in the houses at Kaneš, either maids or tablets or wherever there is a single shekels of silver, take care to seal it and send it to me.",sentence_word_index
a-na PUZUR4-a-šur qí-bi4-ma um-ma bu-za-zu-ma,To Puzur-Aššur from Buzazu:,sentence_word_index
a-ma-kam i-ša-ha-at a-šur-na-da i-zi-za-ma ma-lá a-šur-lá-ma-sí ù a-zu-ta-a TÚG.HI.A ip-qí-du-nu TÚG.HI.A a-na a-šur-na-da ṣú-ha-ru-um ša a-zu-ta-a li-ip-qí-id-ma ṭup-pá-am ša ku-nu-ki-šu a-šur-na-da li-dí-šu-um,"Assist Aššur-nāda there, so that Azutaya' s servant entrusts to Aššur-nādā whatever textiles Aššur-lamassī and Azutaya had entrusted on commission to others, and Aššur-nādā should then give him a tablet bearing his seal.",sentence_word_index
a-šur-SIPA i-šu,Aššur-nādā owes Aššur-rēʾī 13 minas refined silver.,sentence_word_index
um-ma a-šùr-mu-ta-bi4-il5-ma a-na ku-na-ni-a qí-bi4-ma 0.5,From Aššur-mutabbil to Kunania:,sentence_word_index
a-ta 7 GÍN.TA KÙ.BABBAR a-na AN.NA-ki-a a-na ša ki-ma i-a-tí šu-qú-ul lu gi5-mì-lu-um i-a-tí ki-ma ag-mì-lu-kà-ni-ma ha-ra-nam a-dí-na-ku-um,May it be a favour for me since I have done you a favour and I have arranged a caravan for you.,train_split
3 GÍN KÙ.GI a-šùr-DU10 ub-lam ŠÀ 1.3333300000000001 GÍN 7.5 ŠE ni-is-ha-tim ni-dí-in 0.33333 GÍN i-na sà-na-qí-ni im-ṭí ší-ti KÙ.GI,"It was 0.3333 shekel less when we checked it, so the rest of the gold is 31.3333 shekels, its equivalent in silver at 1: 5 1 / 4 is 2 3 / 4 minas.",train_split
a-na-ku a-wi-lam,I am the man of favors.,sentence_word_index
ṣí-ib-tám ú-ṣa-áb,"If he does not pay on time, he will add interest at the rate of the colony.",sentence_word_index
ù ki-ma a-na-ku a-na-kam ší-bi4 áš-ku-nu ù a-ta a-ma-kam ší-bi4 šu-ku-un,"Also, just as I set witnesses here for myself, you must set witnesses there for you.",sentence_word_index
a-šùr-ni-im-ri e-ez-ba-šu ki-ma KÙ.BABBAR ta-áš-qú-lá-ni ma-ri-a-am,When you have weighed the silver send me the big_gap,train_split
20 ma-na en-nam-a-šùr DUMU i-sú-ri-ik 14 hi-dim sú-sà-a-a DUMU na-áp-ra-kà 2 ma-na 2.5 hi-dim i-zi-me-IZ-šar,"20 minas: Ennam-Aššur son of Issu-arik. 14 beads: Susaya son of Napraka. 2 minas, 2 ½ beads: Izziz-mīšar.",original_document
il5-qé IGI e-nu-um-we-er DUMU šu-da-a IGI i-lá-áš-ra-ni DUMU sú-kà-li-a IGI en-na-sú-in DUMU i-dí-a-bi-im IGI DUMU a-bu-bu ta-ar-dí-im,"Witnessed by Ennam-Wēr son of Šudaya, by Il-ašrannī son of Sukalliya, by Enna-Suen son of Iddin-abum, by Abūbu's younger son.",train_split
i-na 0.33333 ma-na 4 GÍN KÙ.BABBAR ší-im am-tí-im ša a-na a-ta-na-ah a-dí-nu-šu-ni 4 GÍN KÙ.BABBAR a-na a-hu-qar i-dí-in 11.83334 GÍN KÙ.BABBAR a-na bé-lúm-ba-ni i-dí-in 7 GÍN KÙ.BABBAR hu-bu-ul gap - gap - gap 1.16666 GÍN KÙ.BABBAR ú 0.5 GÍN ṣí-ib-ta-am i- gap - gap - gap a-na a-ta-na-ah ni-dí-in big_gap 0.5 GÍN KÙ.BABBAR i li-bi4 a-hu-ša DUMU,"Of 24 shekels of silver, the price of the slave-girl, which I had given to Atanah, he gave 4 shekels of silver to Ahu-waqar?; 11.83333 shekels of silver he gave to Bēlum-bāni. 7 shekels of silver, the debt of big_gap , 1.1666 shekels of silver and 0.5? big_gap as interest big_gap big_gap Atanah we gave. 0.5 shekel of silver is owed by Ahuša, son of Kura. 0.5 shekel is owed by Zagalʾu, his slave, 0.83333 shekel my road-tax. 5 minas of silver - the deficiency on the silver is 0.5 shekel of silver, due to the underweight of the 1-mina-weight used for tin for a value of 5 minas of silver - I gave this 0.5 shekel of silver to Aššur-ṭāb.",train_split
a-ni-qí ša a-mu-tim i-tur4-DINGIR a-na en-um-a-šur i-dí-in eq-lam,From here and from there it will pass overland in the name of Ennam-Aššur.,train_split
i-nu-mì a-na ha-hi-im a-li-ku 5 GÍN KÙ.BABBAR a-na sà-he-er-tim gap -2 GÍN KÙ.BABBAR a-na É ub-ri a-dí-in 5 GÍN KÙ.BABBAR a-šar ANŠE.HI.A i-zi-zu-ni a-dí-in 1 GÍN KÙ.BABBAR a-na né-ba-ar-tim a-dí-in gap GÍN KÙ.BABBAR a-na ra-bi4-ṣí-im a-dí-in 4.33333 GÍN KÙ.BABBAR a-na sà-ri-dim gap gap gap gap KÙ.BABBAR gap gap gap gap ša na-ri-im áš-qúl 4 GÍN KÙ.BABBAR lu-bu-uš 2 ṣú-ha-ri,"When I went to hahhum: 5 shekels for small goods,",original_document
ih-ta-ša-ah ša-ma-šu-um ṣú-ba-tí-ša ša li-bi4-ni ub-la-ni 13 ṣú-ba-tí ša e-zi-bu-ú ku-nu-ki-a a-na ú-ku-ú dí-na-ma lu-ub-la-am i-na 4 ma-na AN.NA-ki-im ša,"As to her textiles in our possession that he brought, the 13 textiles that they left, give them to Uku under my seal so he may bring them.",train_split
al-qé 0.66666 ma-na 8 GÍN iš-tí i-tur4-DINGIR 1.3333300000000001 ma-na iš-tí ku-ku-wa 7 ma-na iš-tí tù-um-li-a-i-im 1 ma-na iš-tí DUMU uš-ha-ta ŠU.NÍGIN KÙ.BABBAR-pí-kà 27.5 ma-na 3 GÍN ša i-na ba-áb-tí-kà al-qé-ú ŠÀ.BA,"Thereof I paid 10.5 minas 5 shekels to Azu's firm; I made purchases for 3 minas of silver, and I have deposited textiles on your account in the colony office, and I have booked you for 5.5 minas 7.5 shekels in the colony; they made you pay 12 minas of silver, the complete fees, and I deducted 5.5 mina 7.5 shekels so they made me pay 6.3333 minas 2.5 shekels of refined silver.",train_split
ì-lí-a i-lá-qé mu-ša-lam ù,The mirror and the Ilabrat-bāni will take.,train_split
en-um-a-šùr a-na a-šùr-iš-tí-kál DUMU šu-a-nim iṣ-ba-at-ni-a-tí-ma um-ma en-um-a-šur-ma iš-tù ITU.1.KAM ša sá-ra-tim šu-ma a-dí ITU.5.KAM a-na kà-ni-iš lá ta-li-kam-ma a-wa-tám lá ta-dí-nam a-na 15 ma-na lu-la-im ù 2 DUG a-lá-ni ša i-na li-bi-kà a-bi i-šu-ú ba-lu-um dí-ni-im ṣa-al-tim ú ma-mì-tim ma-na-um 1 ma-na a-na lu-li-i-a ù a-lá-ni-a ta-ša-qá-lam um-ma a-šùr-iš-tí-kál-ma a-ša-qá-lá-kum IGI pí-lá-ah-IŠTAR DUMU ki-li-a IGI a-gu-a DUMU PUZUR4-a-šur a-ha-ma a-na ri-ik-sí-im ša šu-lá-ba-an i-na bu-ru-uš-ha-dim IGI dIM-ba-ni DUMU kà-na-ni IGI šu-ku-bi4-im ip-qí-da-ni i-na ú-lá-ma IGI ma-nu-um-ba-lu-a-šùr DUMU e-na-ma-nim ù IGI pí-lá-ah-IŠTAR šu-lá-ba-an iṣ-ba-tí-ma um-ma šu-ut-ma ri-ik-sà-am ša áp-qí-da-ku-ni a-šu-ku-bi-im dí-in a-ha-ma ṭup-pá-am ha-ar-ma-am ša 50 ma-na URUDU SIG5 ša tám-kà-ri-im a-na en-na-nim DUMU a-bi-a áp-qí-id 50 ma-na URUDU ší-kam tám-kà-ri ú-ša-da-an ú-šé-ba-lam IGI pí-,"Ennam-Aššur seized us against Aššuriš-tikal son of Šu-Anum, and Ennam-Aššur said: If you have not come to Kanesh within 5 months, after the month Ša-sarrātim and answered me in court, then with respect to the 15 minas of antimony and 2 jars of acorns which you owe to my father, you must pay me mina for mina for my antimony and my acorns without a verdict, quarrel or oath."" Aššuriš-tikal answered: ""I shall pay you."" Witnessed by Pilah-Ištar son of Kiliya, by Aguwa son of Puzur-Aššur. ""Further, with respect to the package that Šu-Laban entrusted to me in Burušhaddum before the witnesses Adad-bāni son of Kanani and Šu-Kūbum, Šu-Laban seized me in Ulama before the witnesses Mannum-balum-Aššur son of Ennam-Anum and Pilah-Ištar, and he said: 'Give the package that I entrusted to you to Šu-Kūbum.' Further, I entrusted a certified tablet concerning 50 minas of good copper belonging to the merchant to Ennānum son of Abiya; he will make my merchant pay 50 minas of -copper and send it to me."" Witnessed by Pilah-Ištar, by Amur-Aššur.""",original_document
a-ha-ma ni-is-ha-sú DIRI ša-du-a-sú ša-bu ša DAM.GÀR ku-ta-ni i-ša-ú-mu-nim,"Separately 5 minas of silver, its excise added, his transport fee paid, belonging to .",train_split
DAM.GÀR a-ma-lik mì-šu,I have sent Uṣur-ši-Ištar to Enišārum concerning your tin.,train_split
lá-qé-pu-um a-na da-tim ù ú-ku-ul-tim il5-qé 12 TÚG-pì-ri-kà-ni ša té-zi-bu 1 TÚG,"With respect to the undergarments you left, either the or those of the he brings a memorandum with their number.",train_split
KIŠIB a-gu5-za KIŠIB-a-na-ah-DINGIR KIŠIB ki-iš-du-a-at KIŠIB ha-al-ki-a-šu ša hu-bu-ul ki-iš-du-a-at gap ma-na KÙ.BABBAR ṣa-ru-pu-um ša a-šur-SIPA iš-tù ha-mu-uš-tim ša a-šur-SIPA ù a-la-hi-im 3 GÍN.TA i-na ITU.KAM-im ú-ṣa-áb big_gap,"Seals of Aguza KIŠIBa-na-aḫ-DINGIR, ki-iš-du-a-at, Halik-aššu",sentence_word_index
